Country,City,Lat,Lng,Wind Level,Max Temperature,Humidity,Date,Cloudiness
CL,tocopilla,-22.09,-70.2,3.96,70.97,38,1591478158,8
CA,pictou,45.68,-62.72,7.0,53.01,93,1591478150,100
US,havelock,34.88,-76.9,7.0,82.0,76,1591478158,100
AR,rawson,-43.3,-65.1,28.54,61.81,32,1591478159,100
PF,tiarei,-17.53,-149.33,11.41,78.8,61,1591478159,40
KZ,ayagoz,47.97,80.44,3.36,45.32,80,1591478159,12
BR,touros,-5.2,-35.46,5.82,78.8,88,1591478160,75
GB,aberystwyth,52.42,-4.08,4.0,50.0,95,1591478160,69
BO,villazon,-22.09,-65.59,13.33,56.75,33,1591478161,3
CN,moba,33.23,105.02,2.73,55.51,100,1591478162,100
GB,margate,51.38,1.39,5.01,52.0,75,1591478162,18
ES,muros,42.78,-9.06,8.99,63.0,80,1591478162,78
CA,hearst,49.68,-83.67,8.72,53.65,50,1591478163,100
CD,port keats,-7.03,29.76,2.55,75.22,57,1591478046,52
CA,sept-iles,50.2,-66.38,8.05,55.4,47,1591478163,75
KZ,emba,48.83,58.14,3.94,57.47,40,1591478164,0
CN,manzhouli,49.6,117.43,6.02,57.92,79,1591478164,100
VE,calabozo,8.92,-67.43,6.26,88.95,57,1591478164,13
MX,mazatlan,23.22,-106.42,10.29,82.4,69,1591478059,90
ID,waingapu,-9.66,120.26,7.45,72.75,82,1591478165,0
IT,front royal,45.28,7.66,3.36,66.2,82,1591478165,20
OM,salalah,17.02,54.09,2.24,86.0,89,1591477930,20
NA,rundu,-17.93,19.77,2.24,60.8,38,1591478166,0
RU,bayanday,53.07,105.51,3.36,40.26,73,1591478166,33
FI,kirkkonummi,60.12,24.44,19.39,53.01,70,1591478166,0
IS,olafsvik,64.89,-23.71,5.48,46.0,57,1591478023,100
BR,cangucu,-31.39,-52.68,4.7,57.2,87,1591478167,90
RU,ubinskoye,55.31,79.68,6.91,51.44,88,1591478167,75
CL,santiago,-33.46,-70.65,5.82,57.2,58,1591478167,100
CA,prince george,52.97,-108.38,35.57,50.0,87,1591478167,90
UZ,komsomolskiy,40.43,71.72,11.41,75.2,31,1591478168,22
CD,bumba,2.18,22.47,2.3,73.47,83,1591478168,25
GB,boddam,57.47,-1.78,17.22,48.2,93,1591478168,90
MX,ixtapa,20.7,-105.2,10.29,80.6,69,1591478168,75
RU,elista,46.31,44.26,8.39,68.2,46,1591478169,0
IN,padrauna,26.9,83.98,5.12,78.8,76,1591478169,5
ID,ewa beach,-8.62,122.51,8.05,73.08,84,1591478170,21
NE,agadez,19.75,10.25,1.21,92.77,19,1591478170,4
IR,chalus,36.66,51.42,2.84,68.0,82,1591478170,75
LY,hun,29.13,15.95,16.87,80.08,29,1591478171,0
IN,bela,25.93,81.98,3.31,82.47,64,1591478171,0
JM,lucea,18.45,-78.17,21.92,90.0,66,1591478171,20
RU,kez,57.9,53.72,3.96,52.05,86,1591478171,57
UY,salto,-31.38,-57.97,4.7,61.0,100,1591478172,75
RU,turukhansk,65.82,87.98,18.54,40.91,69,1591478032,0
IT,florence,43.77,11.25,5.82,66.2,77,1591478172,40
US,kenai,60.55,-151.26,11.41,57.2,66,1591478172,75
JP,nyuzen,36.93,137.5,2.24,64.99,82,1591478172,20
PT,campo verde,41.19,-8.46,6.93,61.0,87,1591478173,75
CA,ucluelet,48.93,-125.55,6.93,57.99,82,1591478173,40
RU,sangar,63.92,127.47,4.61,56.8,70,1591478173,9
US,lompoc,34.64,-120.46,19.46,68.0,60,1591478173,1
CN,urumqi,43.8,87.6,6.71,60.8,41,1591478174,0
US,kailua,21.4,-157.74,11.41,82.4,61,1591478174,90
US,worland,44.02,-107.96,10.29,71.6,46,1591478174,75
ID,liku,-0.73,119.89,1.99,74.8,84,1591478175,100
RU,kyren,51.68,102.14,5.44,43.39,58,1591478175,0
KZ,beyneu,45.32,55.2,6.91,72.52,33,1591478175,100
IN,vemalwada,18.47,78.88,11.32,85.3,51,1591478175,32
PH,pandan,14.05,124.17,3.04,80.64,77,1591477878,68
CN,pingxiang,27.62,113.85,4.07,73.18,89,1591478176,100
RU,kharitonovo,61.4,47.5,4.56,55.31,92,1591478176,31
NZ,christchurch,-43.53,172.63,3.36,39.99,92,1591478042,24
LV,aloja,57.77,24.88,6.46,54.0,81,1591478176,0
CR,nicoya,10.15,-85.45,12.75,86.0,70,1591478102,75
US,makakilo city,21.35,-158.09,13.87,84.2,61,1591478177,75
ET,yabelo,4.88,38.08,7.58,60.78,79,1591478177,29
UA,horodnytsya,50.81,27.32,3.98,62.73,91,1591478177,95
FR,north las vegas,50.33,3.67,1.01,54.0,67,1591478122,50
NP,nha trang,27.91,86.72,2.95,32.63,86,1591478178,11
RU,andra,62.51,65.89,3.42,58.33,68,1591478178,0
AZ,turkan,40.36,50.22,11.41,68.0,68,1591478178,2
CN,yumen,40.28,97.2,7.96,59.4,34,1591478039,95
PT,vila franca do campo,42.03,-8.16,9.17,62.01,93,1591478031,75
NE,bilma,18.69,12.92,8.79,96.39,12,1591478179,0
IL,gat,31.61,34.76,3.87,73.99,89,1591478160,0
US,oregon city,44.0,-120.5,13.0,54.0,42,1591478180,74
SD,khartoum,15.55,32.53,9.17,96.8,11,1591477910,0
GA,gamba,-2.65,10.0,7.67,75.54,95,1591477996,43
RO,asau,46.43,26.4,1.41,64.0,69,1591478180,92
CD,lodja,-3.48,23.43,1.01,74.64,61,1591478181,12
CD,port lincoln,-7.03,29.76,2.55,75.22,57,1591478084,52
US,ketchikan,55.34,-131.65,12.75,62.6,48,1591478181,20
SA,mecca,21.43,39.83,12.53,90.19,36,1591478181,100
RU,severo-kurilsk,50.68,156.12,17.18,43.88,91,1591478181,100
US,brigantine,39.41,-74.36,12.75,88.0,55,1591478182,1
US,richards bay,46.84,-95.91,13.87,68.0,42,1591478182,1
CD,port arthur,-7.03,29.76,2.55,75.22,57,1591478033,52
PH,puro,12.48,123.38,5.55,82.63,75,1591478182,100
BY,haradok,55.46,29.98,3.76,55.49,90,1591478182,0
RU,vanavara,60.34,102.28,4.59,48.88,88,1591478183,99
NO,raudeberg,61.99,5.14,20.24,53.01,88,1591478183,98
RU,severomuysk,56.15,113.43,5.01,45.7,91,1591478183,100
LK,hambantota,6.12,81.12,15.9,80.56,81,1591478184,100
UA,synevyr,48.49,23.63,3.0,54.0,81,1591478184,99
CN,linxia,35.6,103.21,2.82,55.11,66,1591478184,95
CA,fredericton,45.95,-66.67,8.05,57.2,100,1591478184,90
RU,sosva,59.18,61.86,4.41,54.37,75,1591478185,0
MX,topolobampo,25.6,-109.05,11.41,93.0,52,1591478185,5
SN,dakar,14.69,-17.44,4.7,77.0,83,1591477899,50
BR,itarema,-2.92,-39.92,10.96,79.47,83,1591478035,82
GB,hay river,52.07,-3.13,7.29,53.01,84,1591478186,22
GB,hastings,50.86,0.57,1.99,50.0,95,1591477949,78
SO,mogadishu,2.04,45.34,17.29,80.51,87,1591478037,71
OM,nizwa,22.93,57.53,2.44,89.92,19,1591478186,0
GL,aasiaat,68.71,-52.87,8.48,36.52,88,1591478187,100
IN,mokokchung,26.33,94.53,3.06,60.78,100,1591478187,23
MX,teopantlan,18.72,-98.27,12.75,82.0,40,1591478187,40
CL,ancud,-41.87,-73.82,11.41,48.2,81,1591478024,40
NZ,tirau,-37.98,175.75,3.0,51.01,91,1591478188,14
KG,isfana,39.84,69.53,11.18,71.6,30,1591478188,0
ID,kupang,-10.17,123.58,9.98,72.75,79,1591478188,0
SO,bandarbeyla,9.49,50.81,25.7,85.15,68,1591478189,0
RU,pitkyaranta,61.57,31.48,10.13,52.61,97,1591478189,73
TD,sarh,9.14,18.39,8.55,80.6,83,1591478189,34
AO,menongue,-14.66,17.69,4.97,55.04,48,1591478189,0
US,elko,41.0,-115.5,6.93,55.4,71,1591478189,90
RU,znamenskoye,57.13,73.83,3.76,57.29,73,1591478190,93
AU,launceston,-41.45,147.17,3.36,30.99,92,1591478190,0
SJ,longyearbyen,78.22,15.64,26.4,33.8,69,1591478190,75
US,grand forks,38.88,-109.5,14.99,68.0,49,1591478191,20
PG,lorengau,-2.02,147.27,4.79,82.36,67,1591478191,0
RU,vostok,46.49,135.88,2.04,50.27,90,1591478191,92
PT,porto velho,41.15,-8.61,6.93,62.01,87,1591478067,75
BR,jacareacanga,-6.22,-57.75,1.54,83.86,74,1591478191,53
SB,gizo,-8.1,156.84,4.0,81.9,77,1591478192,60
RU,zhigansk,66.77,123.37,5.84,60.53,41,1591478192,26
JP,ryotsu,38.08,138.43,1.12,57.2,93,1591478192,59
CA,saint-gabriel,46.3,-73.38,18.34,71.6,46,1591478193,40
US,lewistown,40.6,-77.57,11.41,84.2,28,1591478193,20
DE,wolnzach,48.6,11.63,1.12,57.99,87,1591478193,92
CL,calbuco,-41.77,-73.13,8.05,48.2,87,1591478193,75
IN,tezu,27.92,96.17,3.96,72.54,83,1591478194,94
US,anaconda,46.13,-112.94,11.41,57.2,71,1591478194,90
GB,mount darwin,53.66,-1.85,3.44,50.0,79,1591478115,37
AF,dawlatabad,36.41,64.91,4.03,79.65,17,1591478194,0
CL,iquique,-20.22,-70.14,13.87,62.6,77,1591478195,40
ID,katobu,-4.94,122.53,3.42,73.02,93,1591478195,76
US,merrill,45.18,-89.68,4.03,73.4,43,1591478195,1
JP,itoman,26.12,127.67,10.29,78.8,94,1591478196,75
